Time	LAT	LON	Depth	Mag
2009/01/09 03:44:38.8000	10.437	56.992	10	5.4
2009/01/09 06:28:35.1000	-19.287	-66.595	243	4.7
2009/01/09 06:54:47.7000	-2.231	99.774	35	5.1
2009/01/09 07:28:45.7000	16.064	119.766	61	5.1
2009/01/09 08:45:53.9000	-4.284	152.136	193	4.9
2009/01/09 11:34:58.2000	51.795	-176.051	56	4.9
2009/01/09 14:35:22.3000	-0.715	133.78	35	5.2
2009/01/09 17:43:51.2000	-1.084	127.056	41	4.6
2009/01/09 18:14:22.2000	-23.622	-179.926	521	4.8
2009/01/09 22:43:31.1000	-23.124	-70.665	18	5
2009/01/10 02:16:14.9000	-0.303	132.402	35	4.6
2009/01/10 04:29:58.4000	-21.773	-179.503	658	4.5
2009/01/10 11:53:21.5000	-35.364	178.938	176	5
2009/01/10 22:17:56.1000	-0.459	132.811	35	4.7
2009/01/11 01:55:44.8000	52.727	159.717	77	4.5
2009/01/11 05:27:11.5000	-31.691	-69.406	10	4.9
2009/01/11 05:57:11.7000	42.633	143.41	71	4.8
2009/01/11 08:43:59.6000	10.786	140.544	69	4.7
2009/01/11 10:53:56.4000	51.407	16.152	5	4.7
2009/01/11 12:53:37.3000	42.975	143.028	98	4.6
2009/01/11 14:03:50.2000	-6.464	147.453	75	4.6
2009/01/11 14:15:54.7000	-0.723	133.589	28	4.9
2009/01/11 15:53:01.2000	6.437	126.855	108	5
2009/01/11 18:13:06.4000	-0.582	132.969	83	4.9
2009/01/11 18:29:06.4000	-26.745	-176.014	15	5.4
2009/01/12 03:05:31.7000	44.307	145.613	152	4.5
2009/01/12 22:14:11.1000	2.887	95.827	65	5.1
2009/01/13 01:04:42.7000	-13.194	66.06	10	5.6
2009/01/13 01:48:43.9000	36.039	72.336	63	4.7
2009/01/13 06:12:42.9000	35.66	26.39	42	5.1
2009/01/13 07:50:02.5000	-18.177	-175.216	202	4.5
2009/01/13 10:38:17.8000	-22.793	-175.176	35	5
2009/01/13 16:31:49.1000	19.921	147.21	35	4.7
2009/01/13 16:39:13.4000	20.008	147.099	38	4.7
2009/01/13 17:17:13.4000	-29.544	-71.128	60	5.1
2009/01/13 18:45:44.5000	20.043	147.024	27	5
2009/01/13 19:47:52.2000	5.773	-76.138	57	4.7
2009/01/13 20:04:03.9000	19.962	147.005	64	4.6
2009/01/13 20:15:41.3000	20.022	147.066	42	4.5
2009/01/13 21:32:07.3000	-24.173	-66.852	176	4.3
2009/01/13 21:58:47.9000	19.901	146.997	68	4.8
2009/01/14 01:36:17.7000	47.754	153.066	58	4.5
2009/01/14 04:26:01.0000	-0.684	133.277	35	4.6
2009/01/14 04:48:59.0000	-6.481	155.703	171	5.1
2009/01/14 05:14:24.2000	52.374	159.143	66	5
2009/01/14 07:19:02.5000	-0.839	133.062	35	4.8
2009/01/14 11:09:18.0000	-7.744	118.706	38	4.9
2009/01/14 15:22:29.5000	-2.834	127.532	84	4.6
2009/01/14 18:23:40.3000	31.21	103.427	26	5
2009/01/14 18:46:32.3000	-0.362	132.307	38	4.9
2009/01/14 21:22:39.0000	26.369	-44.578	10	4.6
2009/01/15 00:08:47.9000	45.825	80.798	16	4.7
2009/01/15 07:27:20.0000	-22.355	170.648	27	6.5
2009/01/15 09:34:44.8000	31.377	141.7	56	5.1
2009/01/15 10:03:54.4000	31.358	141.633	10	4.9
2009/01/15 13:02:31.4000	-22.552	170.37	35	5.4
2009/01/15 16:15:01.8000	-10.327	161.26	112	5.6
2009/01/15 17:49:39.1000	46.862	155.156	36	7.5
2009/01/15 23:38:04.7000	-0.526	132.941	35	4.7
2009/01/15 23:52:36.7000	-0.277	132.675	35	4.9
2009/01/15 23:58:48.9000	-0.586	132.684	35	4.7
2009/01/16 03:37:32.6000	47.024	155.457	35	4.5
2009/01/16 04:24:18.4000	48.135	154.15	35	4.6
2009/01/16 04:58:18.4000	48.251	154.108	35	4.6
2009/01/16 05:04:42.5000	-7.173	109.161	188	4.5
2009/01/16 06:47:57.6000	-15.038	167.963	69	5
2009/01/16 12:00:31.3000	46.782	154.825	35	4.8
2009/01/16 14:28:48.2000	-12.81	165.16	10	4.8
2009/01/16 15:14:22.8000	47.023	155.31	35	4.9
2009/01/16 16:48:21.4000	46.808	155.529	30	4.8
2009/01/16 19:11:05.1000	-22.373	170.344	68	4.9
2009/01/16 19:55:24.2000	-22.319	170.314	38	5.3
2009/01/16 20:05:25.0000	-22.369	170.419	64	4.9
2009/01/16 22:13:59.6000	14.451	-45.083	10	5.1
2009/01/16 23:03:01.7000	-22.337	170.274	50	4.8
2009/01/17 00:09:32.2000	52.734	-169.501	61	4.2
2009/01/17 01:54:42.7000	5.002	94.094	46	4.6
2009/01/17 02:57:32.4000	15.805	-92.482	176	5.4
2009/01/17 04:39:04.2000	4.812	96.027	175	4.2
2009/01/17 05:17:04.6000	-59.869	-26.817	10	5.3
2009/01/17 07:14:52.6000	-22.196	170.499	46	4.8
2009/01/17 07:45:26.8000	37.096	36.313	6	4.6
2009/01/17 08:38:20.3000	44.054	150.643	33	5.4
2009/01/17 09:22:59.9000	53.976	160.901	39	4.9
2009/01/17 11:22:25.3000	36.248	1.574	10	4.8
2009/01/17 11:49:59.3000	51.158	178.971	49	4.6
2009/01/17 12:07:34.0000	51.2	178.923	48	4.9
2009/01/17 12:41:52.5000	26.832	104.066	10	4.6
2009/01/17 12:55:09.0000	19.291	-155.005	38	4
2009/01/17 13:56:41.7000	63.584	-151.112	10	4.5
2009/01/17 17:14:04.9000	51.256	178.892	27	4.5
2009/01/17 17:53:51.1000	51.161	178.907	46	4.7
2009/01/17 23:18:47.1000	36.121	69.815	82	4.7
2009/01/18 04:27:23.6000	-0.32	132.339	64	4.7
2009/01/18 07:12:28.0000	10	126.025	105	4.4
2009/01/18 08:11:35.2000	1.501	126.49	67	4.8
2009/01/18 08:15:39.0000	19.251	121.236	35	4.8
2009/01/18 08:17:08.6000	50.87	179.691	49	4.6
2009/01/18 09:42:21.1000	51.067	179.698	59	4.5
2009/01/18 11:37:01.5000	-13.881	-74.971	72	4.7
2009/01/18 12:19:22.3000	-22.495	170.581	65	4.9
2009/01/18 14:11:49.1000	-30.09	-177.998	33	6.1
2009/01/19 01:06:29.4000	-0.227	132.829	35	5.1
2009/01/19 03:31:03.2000	-23.947	-179.976	509	4.8
2009/01/19 03:38:32.3000	53.933	160.42	30	5.1
2009/01/19 03:46:33.9000	-22.4	170.805	10	5.3
2009/01/19 10:09:12.6000	-21.372	-177.897	472	4.7
2009/01/19 13:49:22.9000	-4.444	129.374	38	4.7
2009/01/19 17:29:03.0000	7.656	126.786	81	5.1
2009/01/19 23:50:48.4000	22.795	-111.075	10	5.1
2009/01/20 04:06:56.3000	0.495	121.032	78	5.1
2009/01/20 09:26:13.7000	36.103	69.74	86	4.5
2009/01/20 09:53:33.6000	-0.748	133.166	35	4.9
2009/01/20 10:46:51.6000	-4.628	129.871	124	5.5
2009/01/20 11:03:04.4000	-10.699	166.095	206	4.8
2009/01/20 12:34:34.7000	-10.653	115.075	35	4.9
2009/01/20 15:03:40.1000	12.18	-88.58	71	4.7
2009/01/20 22:45:05.6000	10.125	-85.47	53	4.9
2009/01/21 01:42:24.2000	15.527	96.146	34	4.7
2009/01/21 02:19:15.7000	-22.841	170.902	35	4.9
2009/01/21 04:57:08.5000	17.557	120.404	50	4.6
2009/01/21 06:27:57.4000	-20.199	66.367	10	5.1
2009/01/21 09:34:16.2000	-30.176	-177.233	35	4.7
2009/01/21 17:08:42.9000	-22.686	171.033	24	5.8
2009/01/21 18:17:02.9000	-11.789	-75.639	10	4.6
2009/01/21 22:22:19.1000	-6.53	131.343	52	4.6
2009/01/22 03:01:52.8000	-0.514	127.4	121	5.2
2009/01/22 05:09:41.0000	47.078	155.499	10	5
2009/01/22 05:14:18.7000	47.061	155.484	10	4.8
2009/01/22 07:07:04.0000	-14.976	167.108	105	4.7
2009/01/22 07:20:18.8000	-0.326	132.815	35	4.8
2009/01/22 08:12:09.2000	-22.596	170.988	35	4.8
